Sample-id	pH	conductivity-?S	P	K	Zn	Fe	Cu	Ca	Mn	Mg	Group	Type
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical
ERG1A	6.67	6.19	0.273348519	0	0	0	0.074	10.6676	0	6.8724	Supraglacial-1	Supraglacial
ERG1B	6.5	6.1	0.227790433	0	0	0	0.0556	13.6852	0	4.5468	Supraglacial-1	Supraglacial
ERG2A	6.07	11.78	0.523917995	1948.7	39.93	3893.44	15.05	74.7	144.39	738.25	Supraglacial-2	Supraglacial
ERG2B	6.18	8.96	0.455580866	1990.14	41.24	3879.51	15.98	80.99	147.15	741.64	Supraglacial-2	Supraglacial
ERG2C	6.23	10.5	0.478359909	1956.2	42.1	3867.1	16.2	79.2	145.2	740.2	Supraglacial-2	Supraglacial
ERG3A	6.38	11.4	0.615034169	2176.29	26.8	3891.12	14.36	40.37	155.44	719.46	Proglacial site-1	Proglacial
ERG3B	6.31	12.42	0.615034169	2232.33	26.65	3836.16	13.89	40.37	153.18	719.53	Proglacial site-1	Proglacial
ERG3C	6.47	10.48	0.592255125	2230	26.4	3852.12	13.92	40.32	154.12	719	Proglacial site-1	Proglacial
ERG4A	6.21	13.6	0.569476082	1094.82	45.23	4184.51	21.76	54.39	217.79	730.62	Proglacial site-2	Proglacial
ERG4B	6.17	12.34	0.569476082	1024.34	44.77	4164.38	21.3	51.97	214.86	745.74	Proglacial site-2	Proglacial
ERG4C	6.21	11.76	0.546697039	1025.12	44.88	4166.32	20.92	52.33	215.82	742.88	Proglacial site-2	Proglacial
